Dpt;M. Emmanuel MACRON;Mme. Nathalie ARTHAUD;M. Fabien ROUSSEL;M. Jean LASSALE;Mme. Marine LEPEN;M. Eric ZEMMOUR;M. Jean-Luc MELENCHON;Mme. Anne HIDALGO;M. Yannick JADOT;Mme. Valerie PECRESSE;M. Philippe POUTOU;M. Nicolas DUPONT-AIGNAN;Abstentions;Blancs;M. Emmanuel MACRON 2;Mme. Marine LEPEN 2;Part immigration;Mediane du niveau vie;Taux de pauvrete-Ensemble;Part des agriculteurs exploitants;Part des artisans comm. chefs entr.;Part des cadres professions intellect. superieures;Part des professions intermed.;Part des employes;Part des ouvriers;0 a 19ans;20 a 39ans;40 a 59ans;60 a 74ans;75 ans et plus
Eure-et-Loir;59869;1419;4267;5694;61960;14803;40529;3076;7904;13003;1766;5731;78960;3489;109744;96185;7,6;23420;15,8;1,5;5,4;12,5;25,7;28,2;25,5;106858;89986;113656;77517;41553
Finistere;174894;3627;15340;18320;100890;25607;116591;13077;33200;26541;6266;8566;154870;8692;332396;160073;3,2;21460;20,2;2;6,2;13,5;25,9;28,5;23,1;199882;192998;238154;186977;105389
Gard;88278;1768;12123;15162;121480;38479;88827;6585;14974;15460;2706;8137;132723;5840;177669;193666;9,1;21330;20;1,5;9;11,9;25;30,4;20,5;169269;153954;195938;150502;85834
Haute-Garonne;196712;3006;16307;35479;133254;50613;188867;19658;42599;27153;4888;12443;183366;10129;409622;226250;11,1;24230;14,3;0,5;5,8;25,2;27,4;24,9;14,7;342224;408104;372761;210603;118849
Gers;28970;529;3128;11720;26015;8396;21353;3861;4090;5126;793;2418;28267;1762;55559;44188;7,7;22110;15,3;6;8,3;11,7;23,7;27,4;22,2;38130;33056;51019;43037;27311
Gironde;256179;3679;21522;37725;191542;58321;194775;19598;46677;37575;8734;15693;249014;12367;484771;305112;8;23950;12,8;0,8;7,1;18,3;26,5;27,5;18,6;381004;422968;437558;276750;155475
Herault;142306;2580;14165;22068;165734;57751;154819;12150;28057;23230;4393;11475;195766;8867;297066;267908;11;21800;19,4;1,1;8,2;16,8;26,3;29;16,6;276341;294667;302678;215605;129183
Ille-et-Vilaine;205882;3783;12696;13985;101797;27463;132510;13973;42613;26194;5376;10560;161427;9511;390330;159930;4,6;23690;10,8;1,7;5,4;18;26,4;26,1;21,5;274467;278841;284713;171808;99143
Indre;31498;1085;3702;4984;34516;7438;20954;2464;3726;6589;1155;2886;41406;2451;57558;54429;4,9;21270;15,4;3,4;6,1;8,6;21,7;30,8;28,2;42397;39236;54950;48426;31232
Indre-et-Loire;101503;2243;7835;8520;70553;19931;68012;6216;16245;16279;2882;7271;105536;5437;188421;112019;6,8;23140;12,8;1,2;5,6;15,1;27;28,5;21,3;141030;142478;155492;111153;65954
Isere;180533;3479;14694;17025;154799;47450;153474;12736;40378;28575;4826;14327;198676;10990;359596;241584;10,2;24270;11,8;0,7;6,2;19;27,3;25,5;20,3;322152;305254;337021;207554;116520
Jura;36139;1053;3166;6218;38179;9657;28882;2635;6388;7424;1343;4143;41634;2625;68846;60884;6,3;23140;11,8;2,2;6,7;10;24,6;26,5;29,3;56471;51414;67751;51120;30548
Landes;69459;1115;8176;24308;58646;16817;44548;9071;8628;10393;1975;4914;65654;4033;128363;98682;5,3;22840;11,7;1,9;8,1;9,9;24;31;24,4;87239;79525;114908;91168;52389
Loir-et-Cher;50480;1246;4507;5483;50212;12703;30377;3165;7097;9586;1527;4427;59350;3181;91360;78434;6,4;22510;13,2;1,6;6,7;11;23,5;28,7;27,6;72696;62602;84550;66847;40693
Loire;104003;2390;9017;11928;97764;28706;78169;6970;16656;18539;2767;9029;118592;6664;194879;149174;8;21970;15,8;1,3;6,6;11,9;25,4;27,8;25,4;185063;169719;190749;138030;87117
Haute-Loire;32417;1020;3493;7817;38629;9529;24332;2491;5796;9560;1205;3366;37000;2837;62372;61980;4,1;22100;12,3;4,4;7,9;8,7;24,2;28;26,2;49614;43378;59875;47405;26825
Loire-Atlantique;256609;4712;18322;18298;135702;42761;187977;18369;60072;37541;7280;14779;236339;13373;505179;221934;5,5;24120;10,5;1,1;5,7;19,2;27,3;25,4;20,4;365238;366542;380446;239070;128892
Loiret;97004;1959;7530;8483;85832;22878;63486;5656;14401;18086;2433;7674;114468;5512;180882;133331;10,5;23090;13,9;0,9;5,3;14,3;25,9;27,1;25,2;170502;155634;173456;118351;67138
Lot;27311;618;3559;8032;21422;6123;25932;2766;4603;5648;976;2400;27164;1767;55130;38032;7,3;21910;15,3;4,9;9,7;10,9;22,8;28,4;22,4;32646;29408;44567;42951;25624
Lot-et-Garonne;42568;889;4970;13600;50290;15646;34044;3357;5686;7703;1437;3912;52907;2793;81013;82619;9;21050;17,7;3,4;8;9,3;22,7;29;26,5;69572;62484;83253;69306;44565
Lozere;10739;235;1343;4722;10497;3148;9153;1045;1736;3039;426;913;11680;741;22067;18647;4,9;21580;15,5;8,6;7,8;8,9;24,2;29,2;20,8;15861;14886;20115;16512;9198
Maine-et-Loire;157063;3071;8362;11036;89433;21704;80616;8801;26635;21538;3663;9420;136866;8072;274813;138261;4,3;22500;11,5;2;5,6;12,6;24,5;26,6;27,5;205012;189509;205615;142477;83201
Manche;92642;2249;7368;9421;69770;13990;46940;5853;11873;14746;2720;6886;93460;4747;159815;108294;3;22480;11,7;3,4;6,2;9,8;24,3;28,2;27,3;105910;97664;125915;104324;59833
Marne;78472;1778;5307;6921;83756;19501;42858;3542;9561;14357;1894;6159;101010;3826;136025;125046;6,6;22830;15;3,1;5,2;13,5;23,7;28,4;24,7;134156;138574;141572;99175;51547
Haute-Marne;21886;696;1833;3327;34331;6450;13228;1305;2580;4841;747;2584;33273;1489;38230;50586;3,7;21350;15,3;2,9;5,4;8;21,2;30,8;30,4;34814;34445;42783;36189;20650
Mayenne;60755;1273;3313;4673;37376;8042;25608;3468;7934;9236;1372;3858;52812;3483;102263;57006;3,7;22230;11,5;4,8;5,2;9,4;23;25,4;31,3;74436;62858;78582;56204;33639
